ACCTTYPE,SF,X,Y
Residential,1748,-104.9625056,40.18758286
Residential,1748,-104.9626947,40.18764942
Residential,1748,-104.9628886,40.18771046
Residential,1776,-104.9622571,40.18690587
Residential,1724,-104.9625631,40.18688441
Residential,1614,-104.9627188,40.1870148
Residential,1272,-104.9629927,40.18721615
Residential,1452,-104.9632648,40.18728328
Residential,1638,-104.9630897,40.18773427
Residential,1272,-104.9632941,40.1877723
Residential,1724,-104.9634994,40.1877418
Residential,1452,-104.9636387,40.18640357
Residential,1776,-104.9637273,40.18651836
Residential,1272,-104.9638452,40.18666704
Residential,1638,-104.9639583,40.18677619
Residential,1614,-104.9640618,40.18688819
Residential,2354,-104.9629831,40.18656864
Residential,1452,-104.9630717,40.18668343
Residential,1614,-104.9632215,40.18680426
Residential,2195,-104.9633346,40.18691342
Residential,2195,-104.9634381,40.18702542
Residential,1953,-104.9635429,40.18717463
Residential,2142,-104.9638602,40.18805806
Residential,2560,-104.9644444,40.18748246
Residential,736,-104.9644954,40.18762568
Residential,1656,-104.9645855,40.18775767
Commercial,3226,-104.7353269,40.52401072
Industrial,852,-104.9744222,40.15965717
Commercial,942,-104.9627017,40.04552473
Residential,2090,-104.7658085,40.42172981
Residential,1845,-104.5679661,40.3881805
Residential,2314,-104.568554,40.38628811
Residential,2443,-104.568547,40.38643675
Residential,420,-104.984277,40.12140789
Residential,792,-104.8477951,40.52110001
Residential,5280,-104.8477998,40.52126206
Residential,2388,-104.8477981,40.52143838
Residential,2128,-104.8477899,40.52163849
Residential,1440,-104.8477946,40.52180055
Vacant Land,2422,-104.8477929,40.52197687
Residential,600,-104.8477976,40.52213893
Residential,1920,-104.8447031,40.52242639
Residential,2448,-104.8429715,40.52187809
Residential,10500,-104.8431961,40.52190795
Residential,4160,-104.8434016,40.5219663
Residential,3840,-104.8436074,40.52199129
Residential,1344,-104.8438507,40.52202126
Residential,576,-104.8440506,40.52201286
Residential,2102,-104.8442691,40.52201886
Residential,1220,-104.8431508,40.5214216
Residential,23470,-104.8462712,40.52111609
Residential,1300,-104.8465011,40.52111357
Residential,1000,-104.8467359,40.52111108
Residential,1296,-104.8469906,40.52111632
Residential,648,-104.8472402,40.52113679
Residential,840,-104.8452771,40.52110668
Agricultural,43676,-104.8455268,40.52112334
Residential,1571,-104.8457816,40.52112096
Residential,21676,-104.8460063,40.52113366
Residential,9600,-104.8453617,40.52063059
Residential,192,-104.8456215,40.52063206
Residential,512,-104.8458459,40.52066763
Residential,512,-104.8460806,40.52068039
Residential,1792,-104.8463155,40.52067409
Residential,2256,-104.8465402,40.52068679
Residential,2256,-104.84679,40.52068057
Residential,2256,-104.8470146,40.52070471
Residential,576,-104.8472596,40.52068702
Residential,1512,-104.8474644,40.52069198
Residential,864,-104.8476842,40.52069322
Residential,1420,-104.8478889,40.52070199
Residential,192,-104.8431214,40.52000822
Residential,5133,-104.8421022,40.52258543
Residential,1056,-104.8690984,40.50356332
Residential,1152,-104.8688984,40.50358511
Residential,1700,-104.8686935,40.50359924
Residential,3400,-104.8683387,40.50361638
Residential,3400,-104.8681084,40.50367613
Residential,23244,-104.8678879,40.5037588
Residential,24651,-104.8690195,40.50399371
Residential,24651,-104.8690279,40.50415769
